 Sclr;rho;Xi normal;NOVA;Booz;unfrm      psi ;
 3
 0       6 ;Sclr;Nsclr;
 151 3 0 50 8.199617409363634 2 688050.5572578134 0.000000000000000E+00 0.000000000000000E+00 3.381915266731172 83.61265637241108 ;NOSURF,Ntor,mmin,mmax,wNOVA,igrid;;2PI_f,drive,damp,displ[m],n_tw/n;
 1       1 ;rgrid;
 151
 -0.19690E-03 -0.63035E-04  0.90379E-04  0.26253E-03  0.45282E-03  0.66078E-03  0.88607E-03  0.11284E-02
  0.13876E-02  0.16636E-02  0.19561E-02  0.22652E-02  0.25907E-02  0.29324E-02  0.32904E-02  0.36643E-02
  0.40542E-02  0.44596E-02  0.48805E-02  0.53165E-02  0.57673E-02  0.62326E-02  0.67120E-02  0.72052E-02
  0.77118E-02  0.82313E-02  0.87638E-02  0.93084E-02  0.98664E-02  0.10435E-01  0.11021E-01  0.11608E-01
  0.12239E-01  0.12839E-01  0.13378E-01  0.10776E-01  0.11136E-01  0.11493E-01  0.11854E-01  0.12110E-01
  0.12296E-01  0.12387E-01  0.12383E-01  0.12278E-01  0.12073E-01  0.11768E-01  0.11369E-01  0.10885E-01
  0.10331E-01  0.97268E-02  0.90975E-02  0.84699E-02  0.78657E-02  0.72921E-02  0.67386E-02  0.61883E-02
  0.56314E-02  0.50694E-02  0.45098E-02  0.39606E-02  0.34283E-02  0.29174E-02  0.24314E-02  0.19722E-02
  0.15416E-02  0.11409E-02  0.77108E-03  0.43345E-03  0.12927E-03 -0.13996E-03 -0.37256E-03 -0.56688E-03
 -0.72169E-03 -0.83700E-03 -0.91524E-03 -0.96195E-03 -0.98507E-03 -0.99228E-03 -0.98833E-03 -0.97448E-03
 -0.94966E-03 -0.91201E-03 -0.85975E-03 -0.79160E-03 -0.70712E-03 -0.60716E-03 -0.49478E-03 -0.37603E-03
 -0.25889E-03 -0.14882E-03 -0.45686E-04  0.54006E-04  0.15358E-03  0.25470E-03  0.35669E-03  0.45518E-03
  0.54233E-03  0.61325E-03  0.67036E-03  0.71885E-03  0.76261E-03  0.80217E-03  0.83296E-03  0.85056E-03
  0.85696E-03  0.85694E-03  0.85368E-03  0.84516E-03  0.82809E-03  0.80428E-03  0.77749E-03  0.74826E-03
  0.71404E-03  0.67574E-03  0.63607E-03  0.59444E-03  0.55010E-03  0.50506E-03  0.45932E-03  0.41287E-03
  0.36707E-03  0.32174E-03  0.27800E-03  0.23598E-03  0.19655E-03  0.16007E-03  0.12702E-03  0.97742E-04
  0.72378E-04  0.50981E-04  0.33548E-04  0.19745E-04  0.92721E-05  0.16284E-05 -0.34301E-05 -0.65178E-05
 -0.78853E-05 -0.82639E-05 -0.73363E-05 -0.62822E-05 -0.42288E-05 -0.26195E-05 -0.18735E-06
** m =  2
  0.00000E+00 -0.14124E-02 -0.28898E-02 -0.42567E-02 -0.55744E-02 -0.68310E-02 -0.80285E-02 -0.91614E-02
 -0.10226E-01 -0.11216E-01 -0.12127E-01 -0.12954E-01 -0.13694E-01 -0.14340E-01 -0.14890E-01 -0.15339E-01
 -0.15684E-01 -0.15920E-01 -0.16043E-01 -0.16050E-01 -0.15936E-01 -0.15695E-01 -0.15323E-01 -0.14813E-01
 -0.14161E-01 -0.13358E-01 -0.12399E-01 -0.11276E-01 -0.99832E-02 -0.85119E-02 -0.68555E-02 -0.50070E-02
 -0.29597E-02 -0.70717E-03  0.17550E-02  0.44337E-02  0.73259E-02  0.10449E-01  0.13762E-01  0.17361E-01
  0.20995E-01  0.25087E-01  0.30247E-01  0.58952E-01  0.61963E-01  0.64816E-01  0.66946E-01  0.69329E-01
  0.71475E-01  0.73561E-01  0.75465E-01  0.77189E-01  0.78677E-01  0.79893E-01  0.80785E-01  0.81293E-01
  0.81338E-01  0.80816E-01  0.79590E-01  0.77497E-01  0.74396E-01  0.70270E-01  0.65333E-01  0.59990E-01
  0.54652E-01  0.49590E-01  0.44922E-01  0.40665E-01  0.36793E-01  0.33265E-01  0.30041E-01  0.27084E-01
  0.24366E-01  0.21863E-01  0.19556E-01  0.17430E-01  0.15474E-01  0.13678E-01  0.12034E-01  0.10533E-01
  0.91672E-02  0.79230E-02  0.67858E-02  0.57393E-02  0.47715E-02  0.38795E-02  0.30688E-02  0.23482E-02
  0.17251E-02  0.12035E-02  0.78420E-03  0.46484E-03  0.23982E-03  0.98903E-04  0.25518E-04 -0.24096E-05
 -0.42448E-05  0.15541E-04  0.66946E-04  0.16103E-03  0.30126E-03  0.48215E-03  0.68826E-03  0.89355E-03
  0.10721E-02  0.12214E-02  0.13588E-02  0.14982E-02  0.16408E-02  0.17733E-02  0.18745E-02  0.19401E-02
  0.19853E-02  0.20222E-02  0.20503E-02  0.20568E-02  0.20379E-02  0.20046E-02  0.19648E-02  0.19139E-02
